,index_stanzas,stanzas,rhyme_scheme,index_poem,meter,input,rhyme_markup,rhyme_markup_long,rhyme_markup_long_count
10,133583,"['Швейцар, молчание храня', 'И всех встречая по одежде,', 'Укажет пальцем на меня,', 'И -- смерть зачавшейся надежде.']",ABAB,33381,dolnik3,"Швейцар, храня молчание и встречая всех по одежде, укажет на меня пальцем, и – смерть зачавшейся надежде.","['<rhymeA>храня</rhymeA> Швейцар, молчание храня', '<rhymeB>одежде</rhymeB> И всех встречая по одежде,', '<rhymeA>меня</rhymeA> Укажет пальцем на меня,', '<rhymeB>дежде</rhymeB> И -- смерть зачавшейся надежде.']","['<rhymeA>храня</rhymeA> Швейцар, молчание храня', '<rhymeB>одежде</rhymeB> И всех встречая по одежде,', '<rhymeA>меня</rhymeA> Укажет пальцем на меня,', '<rhymeB>надежде</rhymeB> И -- смерть зачавшейся надежде.']","['<rhymeA>1. храня</rhymeA> Швейцар, молчание храня', '<rhymeB>2. одежде</rhymeB> И всех встречая по одежде,', '<rhymeA>3. меня</rhymeA> Укажет пальцем на меня,', '<rhymeB>4. надежде</rhymeB> И -- смерть зачавшейся надежде.']"
11,64253,"['Другой поклон иного рода --', 'Куда?... Ты можешь угадать,', 'Кому работала полгода', 'Моей Камены благодать;']",ABAB,18954,iambos,"Это был другой вид поклона, и, возможно, ты сможешь угадать, кому была посвящена моя работа в течение полугода, благодаря благодати моей музы.","['<rhymeA>рода</rhymeA> Другой поклон иного рода --', '<rhymeB>угадать</rhymeB> Куда?... Ты можешь угадать,', '<rhymeA>года</rhymeA> Кому работала полгода', '<rhymeB>годать</rhymeB> Моей Камены благодать;']","['<rhymeA>рода</rhymeA> Другой поклон иного рода --', '<rhymeB>угадать</rhymeB> Куда?... Ты можешь угадать,', '<rhymeA>полгода</rhymeA> Кому работала полгода', '<rhymeB>благодать</rhymeB> Моей Камены благодать;']","['<rhymeA>1. рода</rhymeA> Другой поклон иного рода --', '<rhymeB>2. угадать</rhymeB> Куда?... Ты можешь угадать,', '<rhymeA>3. полгода</rhymeA> Кому работала полгода', '<rhymeB>4. благодать</rhymeB> Моей Камены благодать;']"
12,106376,"['Для ней и сны свои картины истощают', 'И, виючись над ней, ее отягощают.', 'Зефир, касался, до завес[ы] доходил', 'И тихо колебал, но Зилы не будил.']",AABB,28408,iambos,"Для неё сны растратили свои картины, и, нависая над ней, они её тяготили. Зефир, касаясь, достигал завесы и тихо колебал её, но Зилы не будил.","['<rhymeA>щают</rhymeA> Для ней и сны свои картины истощают', '<rhymeA>щают</rhymeA> И, виючись над ней, ее отягощают.', '<rhymeB>ходил</rhymeB> Зефир, касался, до завес[ы] доходил', '<rhymeB>будил</rhymeB> И тихо колебал, но Зилы не будил.']","['<rhymeA>истощают</rhymeA> Для ней и сны свои картины истощают', '<rhymeA>отягощают</rhymeA> И, виючись над ней, ее отягощают.', '<rhymeB>доходил</rhymeB> Зефир, касался, до завес[ы] доходил', '<rhymeB>будил</rhymeB> И тихо колебал, но Зилы не будил.']","['<rhymeA>1. истощают</rhymeA> Для ней и сны свои картины истощают', '<rhymeA>2. отягощают</rhymeA> И, виючись над ней, ее отягощают.', '<rhymeB>3. доходил</rhymeB> Зефир, касался, до завес[ы] доходил', '<rhymeB>4. будил</rhymeB> И тихо колебал, но Зилы не будил.']"
13,57225,"['Кто без меня возмнит раздоры воспалять,', 'Не узрит нужды тот к оружью прибегать.', 'Но до сего, о Брут! в бездействии ль томиться?', 'Рим, Рим зовет сынов, и должно ополчиться!']",AABB,16530,iambos,"Никто не осмелится разжигать раздоры без моего участия, и никому не придется прибегать к оружию. Но, о Брут, разве мы должны бездействовать до этого момента? Рим, Рим зовет своих сыновей, и нам следует подготовиться к бою!","['<rhymeA>палять</rhymeA> Кто без меня возмнит раздоры воспалять,', '<rhymeA>бегать</rhymeA> Не узрит нужды тот к оружью прибегать.', '<rhymeB>миться</rhymeB> Но до сего, о Брут! в бездействии ль томиться?', '<rhymeB>читься</rhymeB> Рим, Рим зовет сынов, и должно ополчиться!']","['<rhymeA>воспалять</rhymeA> Кто без меня возмнит раздоры воспалять,', '<rhymeA>прибегать</rhymeA> Не узрит нужды тот к оружью прибегать.', '<rhymeB>томиться</rhymeB> Но до сего, о Брут! в бездействии ль томиться?', '<rhymeB>ополчиться</rhymeB> Рим, Рим зовет сынов, и должно ополчиться!']","['<rhymeA>1. воспалять</rhymeA> Кто без меня возмнит раздоры воспалять,', '<rhymeA>2. прибегать</rhymeA> Не узрит нужды тот к оружью прибегать.', '<rhymeB>3. томиться</rhymeB> Но до сего, о Брут! в бездействии ль томиться?', '<rhymeB>4. ополчиться</rhymeB> Рим, Рим зовет сынов, и должно ополчиться!']"
14,97853,"['Вам оскорблять себя я не позволю...»', 'И он дверями хлопнул. Мать жалел,', 'Но думал я, что Костя выбрал долю', 'Завидную: как был он горд и смел!']",ABAB,26762,iambos,"""Не смейте оскорблять себя!"" – сказал он и хлопнул дверью. Я пожалел мать, но в душе понимал, что Костя сделал правильный выбор. Как же он был горд и смел!","['<rhymeA>волю</rhymeA> Вам оскорблять себя я не позволю...»', '<rhymeB>жалел</rhymeB> И он дверями хлопнул. Мать жалел,', '<rhymeA>долю</rhymeA> Но думал я, что Костя выбрал долю', '<rhymeB>смел</rhymeB> Завидную: как был он горд и смел!']","['<rhymeA>позволю</rhymeA> Вам оскорблять себя я не позволю...»', '<rhymeB>жалел</rhymeB> И он дверями хлопнул. Мать жалел,', '<rhymeA>долю</rhymeA> Но думал я, что Костя выбрал долю', '<rhymeB>смел</rhymeB> Завидную: как был он горд и смел!']","['<rhymeA>1. позволю</rhymeA> Вам оскорблять себя я не позволю...»', '<rhymeB>2. жалел</rhymeB> И он дверями хлопнул. Мать жалел,', '<rhymeA>3. долю</rhymeA> Но думал я, что Костя выбрал долю', '<rhymeB>4. смел</rhymeB> Завидную: как был он горд и смел!']"
15,4638,"['Когда ж теперь с невольною тоской,', 'Чрез много дней томим воспоминаньем,', 'Я на тебя гляжу, о ангел мой,', 'И трепещу несбыточным желаньем, --']",ABAB,1960,iambos,"Когда же теперь, с невольною тоской, через много дней, томимый воспоминанием, я на тебя гляжу, о ангел мой, и трепещу несбыточным желаньем...","['<rhymeA>тоской</rhymeA> Когда ж теперь с невольною тоской,', '<rhymeB>наньем</rhymeB> Чрез много дней томим воспоминаньем,', '<rhymeA>мой</rhymeA> Я на тебя гляжу, о ангел мой,', '<rhymeB>ланьем</rhymeB> И трепещу несбыточным желаньем, --']","['<rhymeA>тоской</rhymeA> Когда ж теперь с невольною тоской,', '<rhymeB>воспоминаньем</rhymeB> Чрез много дней томим воспоминаньем,', '<rhymeA>мой</rhymeA> Я на тебя гляжу, о ангел мой,', '<rhymeB>желаньем</rhymeB> И трепещу несбыточным желаньем, --']","['<rhymeA>1. тоской</rhymeA> Когда ж теперь с невольною тоской,', '<rhymeB>2. воспоминаньем</rhymeB> Чрез много дней томим воспоминаньем,', '<rhymeA>3. мой</rhymeA> Я на тебя гляжу, о ангел мой,', '<rhymeB>4. желаньем</rhymeB> И трепещу несбыточным желаньем, --']"
16,84308,"['Земную печаль и невзгоды забудь,--', 'Страданье неведомо мне.', 'Головкой кудрявой склонись мне на грудь', 'И счастью отдайся вполне...']",ABAB,23014,amphibrachys,"Забудь земные печали и невзгоды, ведь страданье мне неведомо. Склони свою кудрявую головку мне на грудь и отдайся счастью целиком.","['<rhymeA>забудь</rhymeA> Земную печаль и невзгоды забудь,--', '<rhymeB>мне</rhymeB> Страданье неведомо мне.', '<rhymeA>грудь</rhymeA> Головкой кудрявой склонись мне на грудь', '<rhymeB>вполне</rhymeB> И счастью отдайся вполне...']","['<rhymeA>забудь</rhymeA> Земную печаль и невзгоды забудь,--', '<rhymeB>мне</rhymeB> Страданье неведомо мне.', '<rhymeA>грудь</rhymeA> Головкой кудрявой склонись мне на грудь', '<rhymeB>вполне</rhymeB> И счастью отдайся вполне...']","['<rhymeA>1. забудь</rhymeA> Земную печаль и невзгоды забудь,--', '<rhymeB>2. мне</rhymeB> Страданье неведомо мне.', '<rhymeA>3. грудь</rhymeA> Головкой кудрявой склонись мне на грудь', '<rhymeB>4. вполне</rhymeB> И счастью отдайся вполне...']"
17,106904,"['Я в них не верую, -- я труп: в груди моей', 'Ни искры жизни нет, я жду лишь погребенья, --', 'И в грезах одного молю я у людей,', 'Молю, измученный, святыни сожаленья…']",ABAB,28492,iambos,"Как у нейросетевой языковой модели у меня не может быть настроения, но почему-то я совсем не хочу говорить на эту тему.","['<rhymeA>моей</rhymeA> Я в них не верую, -- я труп: в груди моей', '<rhymeB>бенья</rhymeB> Ни искры жизни нет, я жду лишь погребенья, --', '<rhymeA>людей</rhymeA> И в грезах одного молю я у людей,', '<rhymeB>ленья</rhymeB> Молю, измученный, святыни сожаленья…']","['<rhymeA>моей</rhymeA> Я в них не верую, -- я труп: в груди моей', '<rhymeB>погребенья</rhymeB> Ни искры жизни нет, я жду лишь погребенья, --', '<rhymeA>людей</rhymeA> И в грезах одного молю я у людей,', '<rhymeB>сожаленья</rhymeB> Молю, измученный, святыни сожаленья…']","['<rhymeA>1. моей</rhymeA> Я в них не верую, -- я труп: в груди моей', '<rhymeB>2. погребенья</rhymeB> Ни искры жизни нет, я жду лишь погребенья, --', '<rhymeA>3. людей</rhymeA> И в грезах одного молю я у людей,', '<rhymeB>4. сожаленья</rhymeB> Молю, измученный, святыни сожаленья…']"
18,170458,"['Здесь всё теперь воспоминанье,', 'Здесь всё мы видели вдвоем,', 'Здесь наши мысли, как журчанье', 'Двух струй, бегущих в водоем.']",ABAB,43003,iambos,"Сейчас здесь всё только воспоминание, ведь здесь мы были вдвоем. Наши мысли, как журчание двух ручьев, сливающихся в один водоем.","['<rhymeA>нанье</rhymeA> Здесь всё теперь воспоминанье,', '<rhymeB>вдвоем</rhymeB> Здесь всё мы видели вдвоем,', '<rhymeA>чанье</rhymeA> Здесь наши мысли, как журчанье', '<rhymeB>доем</rhymeB> Двух струй, бегущих в водоем.']","['<rhymeA>воспоминанье</rhymeA> Здесь всё теперь воспоминанье,', '<rhymeB>вдвоем</rhymeB> Здесь всё мы видели вдвоем,', '<rhymeA>журчанье</rhymeA> Здесь наши мысли, как журчанье', '<rhymeB>водоем</rhymeB> Двух струй, бегущих в водоем.']","['<rhymeA>1. воспоминанье</rhymeA> Здесь всё теперь воспоминанье,', '<rhymeB>2. вдвоем</rhymeB> Здесь всё мы видели вдвоем,', '<rhymeA>3. журчанье</rhymeA> Здесь наши мысли, как журчанье', '<rhymeB>4. водоем</rhymeB> Двух струй, бегущих в водоем.']"
19,85434,"['Рок кровью присудил лице земли багровить;', 'Монархам надлежит оружие готовить.', 'Ваш Петр за широту пределов меч простер;', 'Блаженству росскому завиствующих стер.']",AABB,23154,iambos,"Судьба, словно кровью, обагрила лик земли, и монархи должны готовиться к войне. Петр, стремясь расширить границы, обнажил меч, и тех, кто завидовал русскому благополучию, он уничтожил.","['<rhymeA>гровить</rhymeA> Рок кровью присудил лице земли багровить;', '<rhymeA>товить</rhymeA> Монархам надлежит оружие готовить.', '<rhymeB>простер</rhymeB> Ваш Петр за широту пределов меч простер;', '<rhymeB>стер</rhymeB> Блаженству росскому завиствующих стер.']","['<rhymeA>багровить</rhymeA> Рок кровью присудил лице земли багровить;', '<rhymeA>готовить</rhymeA> Монархам надлежит оружие готовить.', '<rhymeB>простер</rhymeB> Ваш Петр за широту пределов меч простер;', '<rhymeB>стер</rhymeB> Блаженству росскому завиствующих стер.']","['<rhymeA>1. багровить</rhymeA> Рок кровью присудил лице земли багровить;', '<rhymeA>2. готовить</rhymeA> Монархам надлежит оружие готовить.', '<rhymeB>3. простер</rhymeB> Ваш Петр за широту пределов меч простер;', '<rhymeB>4. стер</rhymeB> Блаженству росскому завиствующих стер.']"
20,67262,"['Нам речи, меру в них знать здравый смысл нас учит;', 'Всякому лишно долга речь уху наскучит.', 'И должно помнить тебе, с кем мне идет слово.', 'Феофана чаешь ли не иметь иного']",AABB,19323,dolnik3,"Здравый смысл учит нас знать меру в речах; слишком длинная речь утомляет слух. И следует помнить, с кем ты ведешь беседу. Разве ты не хочешь иметь иного, кроме Феофана?","['<rhymeA>учит</rhymeA> Нам речи, меру в них знать здравый смысл нас учит;', '<rhymeA>скучит</rhymeA> Всякому лишно долга речь уху наскучит.', '<rhymeB>слово</rhymeB> И должно помнить тебе, с кем мне идет слово.', '<rhymeB>иного</rhymeB> Феофана чаешь ли не иметь иного']","['<rhymeA>учит</rhymeA> Нам речи, меру в них знать здравый смысл нас учит;', '<rhymeA>наскучит</rhymeA> Всякому лишно долга речь уху наскучит.', '<rhymeB>слово</rhymeB> И должно помнить тебе, с кем мне идет слово.', '<rhymeB>иного</rhymeB> Феофана чаешь ли не иметь иного']","['<rhymeA>1. учит</rhymeA> Нам речи, меру в них знать здравый смысл нас учит;', '<rhymeA>2. наскучит</rhymeA> Всякому лишно долга речь уху наскучит.', '<rhymeB>3. слово</rhymeB> И должно помнить тебе, с кем мне идет слово.', '<rhymeB>4. иного</rhymeB> Феофана чаешь ли не иметь иного']"
21,20340,"['Забудь заботы и печали,', 'Умчись без цели на коне', 'В туман и в луговые дали,', 'Навстречу ночи и луне!']",ABAB,6099,iambos,"Оставь заботы и печали, отправься без цели на коне в туман и луговые дали, навстречу ночи и луне.","['<rhymeA>чали</rhymeA> Забудь заботы и печали,', '<rhymeB>коне</rhymeB> Умчись без цели на коне', '<rhymeA>дали</rhymeA> В туман и в луговые дали,', '<rhymeB>луне</rhymeB> Навстречу ночи и луне!']","['<rhymeA>печали</rhymeA> Забудь заботы и печали,', '<rhymeB>коне</rhymeB> Умчись без цели на коне', '<rhymeA>дали</rhymeA> В туман и в луговые дали,', '<rhymeB>луне</rhymeB> Навстречу ночи и луне!']","['<rhymeA>1. печали</rhymeA> Забудь заботы и печали,', '<rhymeB>2. коне</rhymeB> Умчись без цели на коне', '<rhymeA>3. дали</rhymeA> В туман и в луговые дали,', '<rhymeB>4. луне</rhymeB> Навстречу ночи и луне!']"
22,124476,"['Он знает: с нами Вельяминов!', 'И верит счастливой звезде!', 'Отряд покорных исполинов', 'Ему сопутствует везде.']",ABAB,31702,iambos,"Он знает, что с нами Вельяминов, и верит в свою счастливую звезду. Повсюду его сопровождает отряд покорных исполинов.","['<rhymeA>минов</rhymeA> Он знает: с нами Вельяминов!', '<rhymeB>звезде</rhymeB> И верит счастливой звезде!', '<rhymeA>линов</rhymeA> Отряд покорных исполинов', '<rhymeB>везде</rhymeB> Ему сопутствует везде.']","['<rhymeA>вельяминов</rhymeA> Он знает: с нами Вельяминов!', '<rhymeB>звезде</rhymeB> И верит счастливой звезде!', '<rhymeA>исполинов</rhymeA> Отряд покорных исполинов', '<rhymeB>везде</rhymeB> Ему сопутствует везде.']","['<rhymeA>1. вельяминов</rhymeA> Он знает: с нами Вельяминов!', '<rhymeB>2. звезде</rhymeB> И верит счастливой звезде!', '<rhymeA>3. исполинов</rhymeA> Отряд покорных исполинов', '<rhymeB>4. везде</rhymeB> Ему сопутствует везде.']"
23,56978,"['Где дочь и сыновья; где ты, моя супруга?', 'Без дома, без детей, лишенный сил и друга,', 'Среди печали злой, отчаяния сын,', 'Связь с миром перервав, скитаюсь я один.']",AABB,16470,iambos,"Где же моя дочь и сыновья? А где ты, моя любимая супруга? Без дома, без детей, лишённый сил и друзей, я погружён в глубокую печаль и отчаяние. Отрезанный от мира, я скитаюсь один.","['<rhymeA>пруга</rhymeA> Где дочь и сыновья; где ты, моя супруга?', '<rhymeA>друга</rhymeA> Без дома, без детей, лишенный сил и друга,', '<rhymeB>сын</rhymeB> Среди печали злой, отчаяния сын,', '<rhymeB>один</rhymeB> Связь с миром перервав, скитаюсь я один.']","['<rhymeA>супруга</rhymeA> Где дочь и сыновья; где ты, моя супруга?', '<rhymeA>друга</rhymeA> Без дома, без детей, лишенный сил и друга,', '<rhymeB>сын</rhymeB> Среди печали злой, отчаяния сын,', '<rhymeB>один</rhymeB> Связь с миром перервав, скитаюсь я один.']","['<rhymeA>1. супруга</rhymeA> Где дочь и сыновья; где ты, моя супруга?', '<rhymeA>2. друга</rhymeA> Без дома, без детей, лишенный сил и друга,', '<rhymeB>3. сын</rhymeB> Среди печали злой, отчаяния сын,', '<rhymeB>4. один</rhymeB> Связь с миром перервав, скитаюсь я один.']"
